collection_slug,collection_name,collection_url,asset_id,asset_name,asset_description,asset_contract_date,asset_url,asset_img_url,event_id,event_time,event_auction_type,event_contract_address,event_quantity,event_payment_symbol,event_total_price
doodles-official,Doodles,https://opensea.io/collection/doodles-official,74285485,Doodle #5289,"A community-driven collectibles project featuring art by Burnt Toast. Doodles come in a joyful range of colors, traits and sizes with a collection size of 10,000. Each Doodle allows its owner to vote for experiences and activations paid for by the Doodles Community Treasury. Burnt Toast is the working alias for Scott Martin, a Canadian–based illustrator, designer, animator and muralist.",2021-10-16T16:25:03.736944,https://opensea.io/assets/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e/5289,https://lh3.googleusercontent.com/SMCPfXmeX_ogYsrObxKUMTEH2s0_OFxu3486ULaBWI8LDFQTWPckIZ8asTNsvC-M8DGPkm6HfMDX-ntypEZeWBUQr13UOq6CfEDCPA,4857623401,2022-04-09T17:41:24.150762,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,16.99
doodles-official,Doodles,https://opensea.io/collection/doodles-official,74085204,Doodle #3902,"A community-driven collectibles project featuring art by Burnt Toast. Doodles come in a joyful range of colors, traits and sizes with a collection size of 10,000. Each Doodle allows its owner to vote for experiences and activations paid for by the Doodles Community Treasury. Burnt Toast is the working alias for Scott Martin, a Canadian–based illustrator, designer, animator and muralist.",2021-10-16T16:25:03.736944,https://opensea.io/assets/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e/3902,https://lh3.googleusercontent.com/v43qB-HjfevsA_5hTF3qMFgHIMvjNTU1_nR6dlgNgfhb8RLP4Ls6AGvGJ4myJvJO9DfeymDjbpmxQYiE6Y1WrgFsnpeniQLB93EgPfE,4851784397,2022-04-09T13:13:47.041657,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,WETH,14.5
doodles-official,Doodles,https://opensea.io/collection/doodles-official,74062705,Doodle #3209,"A community-driven collectibles project featuring art by Burnt Toast. Doodles come in a joyful range of colors, traits and sizes with a collection size of 10,000. Each Doodle allows its owner to vote for experiences and activations paid for by the Doodles Community Treasury. Burnt Toast is the working alias for Scott Martin, a Canadian–based illustrator, designer, animator and muralist.",2021-10-16T16:25:03.736944,https://opensea.io/assets/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e/3209,https://lh3.googleusercontent.com/OdecB9czyZe58b4ZHQX6-BYFDAErRpyYRWfzTVLJXQ-yDVnTF3mqCJjZhbm7LTO8QPqUqSmEIBk2PMsdppOf5WaPDzIChuOZto6N,4850668460,2022-04-09T12:22:41.507015,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,16.0
doodles-official,Doodles,https://opensea.io/collection/doodles-official,74041873,Doodle #648,"A community-driven collectibles project featuring art by Burnt Toast. Doodles come in a joyful range of colors, traits and sizes with a collection size of 10,000. Each Doodle allows its owner to vote for experiences and activations paid for by the Doodles Community Treasury. Burnt Toast is the working alias for Scott Martin, a Canadian–based illustrator, designer, animator and muralist.",2021-10-16T16:25:03.736944,https://opensea.io/assets/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e/648,https://lh3.googleusercontent.com/qEW5MPXCCxqLz_XxSsHRt_vP268DX-9X56WLRv6GXoEkahXz0YTDjPJGb7ooEmnVmNSeuZ0e8GTMauj5YHUJGAcxlXEPZHJgMdJRuw,4846619344,2022-04-09T09:25:17.670987,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,18.29
doodles-official,Doodles,https://opensea.io/collection/doodles-official,74416174,Doodle #9097,"A community-driven collectibles project featuring art by Burnt Toast. Doodles come in a joyful range of colors, traits and sizes with a collection size of 10,000. Each Doodle allows its owner to vote for experiences and activations paid for by the Doodles Community Treasury. Burnt Toast is the working alias for Scott Martin, a Canadian–based illustrator, designer, animator and muralist.",2021-10-16T16:25:03.736944,https://opensea.io/assets/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e/9097,https://lh3.googleusercontent.com/pR6Tj-pLdfYD1Tg1MbuqLy71spWXX9-2XarZLzBrkqnsU4dQYrMTo7QI4bedK9Sr0h0nHY9pF7SLztUsUiYbsx4X9loWVos3SM2BOw,4840739599,2022-04-09T05:00:32.180612,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,19.0
doodles-official,Doodles,https://opensea.io/collection/doodles-official,74041950,Doodle #675,"A community-driven collectibles project featuring art by Burnt Toast. Doodles come in a joyful range of colors, traits and sizes with a collection size of 10,000. Each Doodle allows its owner to vote for experiences and activations paid for by the Doodles Community Treasury. Burnt Toast is the working alias for Scott Martin, a Canadian–based illustrator, designer, animator and muralist.",2021-10-16T16:25:03.736944,https://opensea.io/assets/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e/675,https://lh3.googleusercontent.com/PPFfUiM3D0Kh8WlKe_OmjeVTA3RNEtHcf_c26HGukQdYJfsTCQm-ijYOnsVuchyV-BiPReh4ASecR5SiioMZfWIsBbJo1up9fvLnKI0,4833158694,2022-04-08T22:49:05.801891,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,15.99
doodles-official,Doodles,https://opensea.io/collection/doodles-official,74042033,Doodle #828,"A community-driven collectibles project featuring art by Burnt Toast. Doodles come in a joyful range of colors, traits and sizes with a collection size of 10,000. Each Doodle allows its owner to vote for experiences and activations paid for by the Doodles Community Treasury. Burnt Toast is the working alias for Scott Martin, a Canadian–based illustrator, designer, animator and muralist.",2021-10-16T16:25:03.736944,https://opensea.io/assets/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e/828,https://lh3.googleusercontent.com/a6tP0mMnivh_LPy-1OB9ORSvnuordKxnrvskQIUz89WSnhQTIw9mKo9EmPKG_efUj8f48C4dhRdXUxmJxo3cjj54I8BlA9ooK23DoMk,4833038880,2022-04-08T22:43:08.167671,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,16.69
doodles-official,Doodles,https://opensea.io/collection/doodles-official,74411572,Doodle #6022,"A community-driven collectibles project featuring art by Burnt Toast. Doodles come in a joyful range of colors, traits and sizes with a collection size of 10,000. Each Doodle allows its owner to vote for experiences and activations paid for by the Doodles Community Treasury. Burnt Toast is the working alias for Scott Martin, a Canadian–based illustrator, designer, animator and muralist.",2021-10-16T16:25:03.736944,https://opensea.io/assets/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e/6022,https://lh3.googleusercontent.com/fF2dXeiNt_aGIYQGY8w2vkN6dRQZWNIV28B-4DqSAmhrHl87yYMY-VxTmwH7_pzXF2FRDSoY_ogZ1oCKdijpm0XxirV8v7Ps3noFoQ,4831175810,2022-04-08T21:16:00.660267,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,15.9
doodles-official,Doodles,https://opensea.io/collection/doodles-official,74043174,Doodle #1165,"A community-driven collectibles project featuring art by Burnt Toast. Doodles come in a joyful range of colors, traits and sizes with a collection size of 10,000. Each Doodle allows its owner to vote for experiences and activations paid for by the Doodles Community Treasury. Burnt Toast is the working alias for Scott Martin, a Canadian–based illustrator, designer, animator and muralist.",2021-10-16T16:25:03.736944,https://opensea.io/assets/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e/1165,https://lh3.googleusercontent.com/P1Bd3ZR9AM2mR3Pqsxr8HGTYahL0wWgJd1qKgEnXRm_BcMl4JuWlr_43d7IFd1XwZsWK6hM4AhNJtlv0u3xqhjQYKxvAZ0G8BF01N7Q,4828410378,2022-04-08T19:01:38.586622,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,15.9
doodles-official,Doodles,https://opensea.io/collection/doodles-official,74106202,Doodle #4184,"A community-driven collectibles project featuring art by Burnt Toast. Doodles come in a joyful range of colors, traits and sizes with a collection size of 10,000. Each Doodle allows its owner to vote for experiences and activations paid for by the Doodles Community Treasury. Burnt Toast is the working alias for Scott Martin, a Canadian–based illustrator, designer, animator and muralist.",2021-10-16T16:25:03.736944,https://opensea.io/assets/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e/4184,https://lh3.googleusercontent.com/r2zdZXqcOlu57OVuwDM4BNuF0BYPy3Q-hgEQhXUYQ8ReWigdwF_flMedxonQZDzFKRBrcdTURXweoaaDi_5GX5yZ2fITGHf98wmgEw,4826789272,2022-04-08T17:44:50.191902,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,20.0
doodles-official,Doodles,https://opensea.io/collection/doodles-official,74043497,Doodle #1349,"A community-driven collectibles project featuring art by Burnt Toast. Doodles come in a joyful range of colors, traits and sizes with a collection size of 10,000. Each Doodle allows its owner to vote for experiences and activations paid for by the Doodles Community Treasury. Burnt Toast is the working alias for Scott Martin, a Canadian–based illustrator, designer, animator and muralist.",2021-10-16T16:25:03.736944,https://opensea.io/assets/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e/1349,https://lh3.googleusercontent.com/Q59Mez_dEYGqHBtc-TDj4YI9T2iw96zf2_ebMEiyyo1006Mp5GVUZJg3_rrxL1yjg3FoN3ArK43Hzy1MZ0NCJj-wWwneGjp3YV0SVFc,4824955632,2022-04-08T16:07:23.640813,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,16.0
doodles-official,Doodles,https://opensea.io/collection/doodles-official,74415398,Doodle #8759,"A community-driven collectibles project featuring art by Burnt Toast. Doodles come in a joyful range of colors, traits and sizes with a collection size of 10,000. Each Doodle allows its owner to vote for experiences and activations paid for by the Doodles Community Treasury. Burnt Toast is the working alias for Scott Martin, a Canadian–based illustrator, designer, animator and muralist.",2021-10-16T16:25:03.736944,https://opensea.io/assets/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e/8759,https://lh3.googleusercontent.com/IXo-i1mo1J9eGdg7QntN9XlJ8A_0f64fxWEumeLp615RMJhvMHAChyM_cl_lF_gj3nrIM4kFMW3nPgtcSHrqf-QvJMKT4Wkk4bC3wQ,4824704022,2022-04-08T15:55:15.301839,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,14.99
doodles-official,Doodles,https://opensea.io/collection/doodles-official,74415522,Doodle #8684,"A community-driven collectibles project featuring art by Burnt Toast. Doodles come in a joyful range of colors, traits and sizes with a collection size of 10,000. Each Doodle allows its owner to vote for experiences and activations paid for by the Doodles Community Treasury. Burnt Toast is the working alias for Scott Martin, a Canadian–based illustrator, designer, animator and muralist.",2021-10-16T16:25:03.736944,https://opensea.io/assets/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e/8684,https://lh3.googleusercontent.com/860dczt4IGqDW09YgggFQX4_WQeKrijvjXi2BNQvAOV4T9Q_ihQrgRsqFGDGGmfqNuaqcHZ9GRgzSIAngcHRKQpkDyyYnaJ5OORG5A,4803090039,2022-04-07T23:46:11.913265,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,16.39
doodles-official,Doodles,https://opensea.io/collection/doodles-official,74415507,Doodle #8666,"A community-driven collectibles project featuring art by Burnt Toast. Doodles come in a joyful range of colors, traits and sizes with a collection size of 10,000. Each Doodle allows its owner to vote for experiences and activations paid for by the Doodles Community Treasury. Burnt Toast is the working alias for Scott Martin, a Canadian–based illustrator, designer, animator and muralist.",2021-10-16T16:25:03.736944,https://opensea.io/assets/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e/8666,https://lh3.googleusercontent.com/THX7EB0wuXZwW9RoFuvgArMhvH94dK3MkvJJ-YeppTSh9hhjUJUZX2fGxrfKY072XoEG0bHwnUSXQ6CYvSgfzkH5uGp84fYAnFQ6sA,4800819511,2022-04-07T22:07:54.223566,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,15.99
doodles-official,Doodles,https://opensea.io/collection/doodles-official,74414380,Doodle #7910,"A community-driven collectibles project featuring art by Burnt Toast. Doodles come in a joyful range of colors, traits and sizes with a collection size of 10,000. Each Doodle allows its owner to vote for experiences and activations paid for by the Doodles Community Treasury. Burnt Toast is the working alias for Scott Martin, a Canadian–based illustrator, designer, animator and muralist.",2021-10-16T16:25:03.736944,https://opensea.io/assets/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e/7910,https://lh3.googleusercontent.com/LEXXQqaeqQx162v9vo7g8LiKDsJzMBqDvF9_Hih1lqYesYFxeQqmT2exfd7N6Dgemrf39q1rdF7Quc_EIhwyZvotMY7b1khY6UJOuUk,4797385992,2022-04-07T19:41:42.657859,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,16.5
doodles-official,Doodles,https://opensea.io/collection/doodles-official,74185656,Doodle #4930,"A community-driven collectibles project featuring art by Burnt Toast. Doodles come in a joyful range of colors, traits and sizes with a collection size of 10,000. Each Doodle allows its owner to vote for experiences and activations paid for by the Doodles Community Treasury. Burnt Toast is the working alias for Scott Martin, a Canadian–based illustrator, designer, animator and muralist.",2021-10-16T16:25:03.736944,https://opensea.io/assets/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e/4930,https://lh3.googleusercontent.com/EeA7BPPGeLxB48OhMWXJB3cEHp1EYgkw4EvQV0KFq2e9c_Luhun1Q7SAvIQfO9HZI7XiV_8nkBAMjji7VmvZUsRby_rAx6Of0-s6,4795732997,2022-04-07T18:34:10.316408,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,16.1
doodles-official,Doodles,https://opensea.io/collection/doodles-official,74416167,Doodle #9174,"A community-driven collectibles project featuring art by Burnt Toast. Doodles come in a joyful range of colors, traits and sizes with a collection size of 10,000. Each Doodle allows its owner to vote for experiences and activations paid for by the Doodles Community Treasury. Burnt Toast is the working alias for Scott Martin, a Canadian–based illustrator, designer, animator and muralist.",2021-10-16T16:25:03.736944,https://opensea.io/assets/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e/9174,https://lh3.googleusercontent.com/6d-Oo5b5izSv6LnsMzv_1b8zDVdAOFFI3neYv5uKWRbmGcnRxgd8m2S0IKEQm0ooyKaKz1bmKs7UXd9zpJnDsax8egoOUuvrEL_C,4795384182,2022-04-07T18:20:07.119194,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,WETH,16.734593448481235
doodles-official,Doodles,https://opensea.io/collection/doodles-official,74041674,Doodle #613,"A community-driven collectibles project featuring art by Burnt Toast. Doodles come in a joyful range of colors, traits and sizes with a collection size of 10,000. Each Doodle allows its owner to vote for experiences and activations paid for by the Doodles Community Treasury. Burnt Toast is the working alias for Scott Martin, a Canadian–based illustrator, designer, animator and muralist.",2021-10-16T16:25:03.736944,https://opensea.io/assets/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e/613,https://lh3.googleusercontent.com/LORRw-5iVp_ROgniQIkOAiLtWoNOguSidNmCT6kRBEopVJk2r-BLwVfU6EBxc9RRdqngXLqPGoyPRG1R3YLSGQYV9dAE60-qjQ33Fw,4791990393,2022-04-07T15:51:14.660591,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,18.65
doodles-official,Doodles,https://opensea.io/collection/doodles-official,74415364,Doodle #8590,"A community-driven collectibles project featuring art by Burnt Toast. Doodles come in a joyful range of colors, traits and sizes with a collection size of 10,000. Each Doodle allows its owner to vote for experiences and activations paid for by the Doodles Community Treasury. Burnt Toast is the working alias for Scott Martin, a Canadian–based illustrator, designer, animator and muralist.",2021-10-16T16:25:03.736944,https://opensea.io/assets/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e/8590,https://lh3.googleusercontent.com/IDG3-fmjfHaVki4PNLSSad-4F0khQaoTd3Y6y-K5wivBfeFPcESa-6jXnu8xZbRGW3P9z63zFUsho1j3_5bzHcrTkQNvD36PZk3Xtg,4791368483,2022-04-07T15:22:07.429108,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,15.5
doodles-official,Doodles,https://opensea.io/collection/doodles-official,74412059,Doodle #6369,"A community-driven collectibles project featuring art by Burnt Toast. Doodles come in a joyful range of colors, traits and sizes with a collection size of 10,000. Each Doodle allows its owner to vote for experiences and activations paid for by the Doodles Community Treasury. Burnt Toast is the working alias for Scott Martin, a Canadian–based illustrator, designer, animator and muralist.",2021-10-16T16:25:03.736944,https://opensea.io/assets/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e/6369,https://lh3.googleusercontent.com/yV8oyi2gaIyJLYZ-d4QxPi6tRUhzz6R5tefqwM3QEHTpHytwL6KzeSz-MOzGjxxhD0dEzQFIBiY7RJZF1xo0mK1VyJ4wVRpzUWqIKUA,4790869349,2022-04-07T14:58:07.619932,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,16.398
doodles-official,Doodles,https://opensea.io/collection/doodles-official,74413288,Doodle #7151,"A community-driven collectibles project featuring art by Burnt Toast. Doodles come in a joyful range of colors, traits and sizes with a collection size of 10,000. Each Doodle allows its owner to vote for experiences and activations paid for by the Doodles Community Treasury. Burnt Toast is the working alias for Scott Martin, a Canadian–based illustrator, designer, animator and muralist.",2021-10-16T16:25:03.736944,https://opensea.io/assets/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e/7151,https://lh3.googleusercontent.com/yf2xU1KrWuf6g0zNC3qOV376SpXgyqJpoW0RSbQn718_0fTErWEDFiiX-2pOxRDiA_RQsSW48zYilzsBpKhPVAbMzRuQop0FFKMtWA,4782063527,2022-04-07T08:14:27.385410,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,16.96
doodles-official,Doodles,https://opensea.io/collection/doodles-official,74415868,Doodle #8937,"A community-driven collectibles project featuring art by Burnt Toast. Doodles come in a joyful range of colors, traits and sizes with a collection size of 10,000. Each Doodle allows its owner to vote for experiences and activations paid for by the Doodles Community Treasury. Burnt Toast is the working alias for Scott Martin, a Canadian–based illustrator, designer, animator and muralist.",2021-10-16T16:25:03.736944,https://opensea.io/assets/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e/8937,https://lh3.googleusercontent.com/SxLWw1S4oNOS5dmTeFrqsLA8kZtIiSe9N-wjK6XVd5bCrjreQjeMdtWiIwLbMjVtOSiVFQbNLz1SVZi7TpGtjP9KS7NgUspl_ppP,4781932092,2022-04-07T08:08:42.458263,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,16.0
doodles-official,Doodles,https://opensea.io/collection/doodles-official,74415890,Doodle #8971,"A community-driven collectibles project featuring art by Burnt Toast. Doodles come in a joyful range of colors, traits and sizes with a collection size of 10,000. Each Doodle allows its owner to vote for experiences and activations paid for by the Doodles Community Treasury. Burnt Toast is the working alias for Scott Martin, a Canadian–based illustrator, designer, animator and muralist.",2021-10-16T16:25:03.736944,https://opensea.io/assets/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e/8971,https://lh3.googleusercontent.com/tGDblHaAlj7Ec188r3RT5tYD9FXmy8tgTyiFVliyCWOky1oNMzo1r1C4TyciyoFFAtJQfSEK8dK4Hy1quxLcl3jVTnkerJvp1GsjUQ,4775556417,2022-04-07T03:10:27.015945,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,15.3
doodles-official,Doodles,https://opensea.io/collection/doodles-official,74416174,Doodle #9097,"A community-driven collectibles project featuring art by Burnt Toast. Doodles come in a joyful range of colors, traits and sizes with a collection size of 10,000. Each Doodle allows its owner to vote for experiences and activations paid for by the Doodles Community Treasury. Burnt Toast is the working alias for Scott Martin, a Canadian–based illustrator, designer, animator and muralist.",2021-10-16T16:25:03.736944,https://opensea.io/assets/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e/9097,https://lh3.googleusercontent.com/pR6Tj-pLdfYD1Tg1MbuqLy71spWXX9-2XarZLzBrkqnsU4dQYrMTo7QI4bedK9Sr0h0nHY9pF7SLztUsUiYbsx4X9loWVos3SM2BOw,4775152546,2022-04-07T02:50:09.474499,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,16.3
doodles-official,Doodles,https://opensea.io/collection/doodles-official,74230119,Doodle #5181,"A community-driven collectibles project featuring art by Burnt Toast. Doodles come in a joyful range of colors, traits and sizes with a collection size of 10,000. Each Doodle allows its owner to vote for experiences and activations paid for by the Doodles Community Treasury. Burnt Toast is the working alias for Scott Martin, a Canadian–based illustrator, designer, animator and muralist.",2021-10-16T16:25:03.736944,https://opensea.io/assets/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e/5181,https://lh3.googleusercontent.com/iuC8Qr6ln4rbliKB2j_8uD1ejDShQq_E4er1JqQJIBFz6AT7g5ywK-71jnFeDHSj3pwC0YCDJFQ9L1oolDzSyml9kErNpk_CMB3Y,4773357083,2022-04-07T01:21:36.786418,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,16.0
doodles-official,Doodles,https://opensea.io/collection/doodles-official,74412690,Doodle #6826,"A community-driven collectibles project featuring art by Burnt Toast. Doodles come in a joyful range of colors, traits and sizes with a collection size of 10,000. Each Doodle allows its owner to vote for experiences and activations paid for by the Doodles Community Treasury. Burnt Toast is the working alias for Scott Martin, a Canadian–based illustrator, designer, animator and muralist.",2021-10-16T16:25:03.736944,https://opensea.io/assets/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e/6826,https://lh3.googleusercontent.com/FoGzAp6qSKxesSFSw80kPeSkuzn-MRapfjXaBLSHyTHiTRC2_FG2vqbXv_mD3438SKQeQ9gnCf1CWwjfl8N0VUCpZ5wETcHwjqznpio,4773265152,2022-04-07T01:16:58.744082,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,16.98
doodles-official,Doodles,https://opensea.io/collection/doodles-official,74412323,Doodle #6459,"A community-driven collectibles project featuring art by Burnt Toast. Doodles come in a joyful range of colors, traits and sizes with a collection size of 10,000. Each Doodle allows its owner to vote for experiences and activations paid for by the Doodles Community Treasury. Burnt Toast is the working alias for Scott Martin, a Canadian–based illustrator, designer, animator and muralist.",2021-10-16T16:25:03.736944,https://opensea.io/assets/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e/6459,https://lh3.googleusercontent.com/MfsVaRw0aXipU2UPcL74JR9QCtESvke3tCeVQSF2VU9CigNlEAJfkWdUnOpDSxo6_JUQYVjqicIUnJAn_HrBQSu4o_0XWIxTznrIHQ,4772795009,2022-04-07T00:54:19.801514,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,16.5
doodles-official,Doodles,https://opensea.io/collection/doodles-official,74405228,Doodle #5818,"A community-driven collectibles project featuring art by Burnt Toast. Doodles come in a joyful range of colors, traits and sizes with a collection size of 10,000. Each Doodle allows its owner to vote for experiences and activations paid for by the Doodles Community Treasury. Burnt Toast is the working alias for Scott Martin, a Canadian–based illustrator, designer, animator and muralist.",2021-10-16T16:25:03.736944,https://opensea.io/assets/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e/5818,https://lh3.googleusercontent.com/1e6qwc7TuK1oL3CENvdGb2Us_2VRnzm4XpDHwYffOFnRwn2-5R5isXUuZLhkajsgBJECRgBowzssBPB4h0CbmKhDdzCb-qKX0aIdVQ,4772722144,2022-04-07T00:50:45.796757,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,16.69
doodles-official,Doodles,https://opensea.io/collection/doodles-official,74417082,Doodle #9781,"A community-driven collectibles project featuring art by Burnt Toast. Doodles come in a joyful range of colors, traits and sizes with a collection size of 10,000. Each Doodle allows its owner to vote for experiences and activations paid for by the Doodles Community Treasury. Burnt Toast is the working alias for Scott Martin, a Canadian–based illustrator, designer, animator and muralist.",2021-10-16T16:25:03.736944,https://opensea.io/assets/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e/9781,https://lh3.googleusercontent.com/oL-lMRO9me7SKLYXPzeohXhH2Y585gawUb3syyaNFilyB2KjTHXfF1I-b95dFd07x7X0TtuwfC7s_agSrODuF8eKSKDJ5N-KIvQn9A,4771146750,2022-04-06T23:29:18.455532,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,15.95
doodles-official,Doodles,https://opensea.io/collection/doodles-official,74412803,Doodle #6851,"A community-driven collectibles project featuring art by Burnt Toast. Doodles come in a joyful range of colors, traits and sizes with a collection size of 10,000. Each Doodle allows its owner to vote for experiences and activations paid for by the Doodles Community Treasury. Burnt Toast is the working alias for Scott Martin, a Canadian–based illustrator, designer, animator and muralist.",2021-10-16T16:25:03.736944,https://opensea.io/assets/0x8a90cab2b38dba80c64b7734e58ee1db38b8992e/6851,https://lh3.googleusercontent.com/p2CCSl_0jPg2gbHCgZVeYsE8oynNGxtYBCFK6Jx5EuekiBEEryCyauOeLiBMtqmEPI6GuNwEJHFpVjNSyJbvss95MUeCCZk3Idsz,4768772968,2022-04-06T21:32:33.237653,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,WETH,14.5
